Region,Vote_Type,Vote_Percentage
Yorkshire,Remain,49.35539139543925
West Midlands,Remain,67.78838931725716
West Midlands,Leave,66.14918100948003
West Midlands,Leave,67.19174026105529
Wales,Leave,57.100516795524534
West Midlands,Remain,64.84243765343197
Wales,Leave,62.10818693849828
Wales,Leave,48.92764401635721
Scotland,Remain,63.97120113654117
Yorkshire,Remain,51.5112157208719
West Midlands,Remain,41.67054802484481
East Midlands,Remain,62.659186983494905
Greater London,Remain,48.62206036354003
North East,Leave,44.25277122386742
East Midlands,Leave,60.22896047631336
South East,Remain,67.4829976207786
South East,Leave,55.19960205828765
Greater London,Leave,42.39477339509422
Northern Ireland,Remain,46.14847562841205
South East,Remain,50.74801624454453
Northern Ireland,Remain,68.11461108753916
Wales,Leave,41.64424804477819
Yorkshire,Remain,68.32750914965621
Greater London,Remain,52.10183155427043
East Midlands,Remain,58.87530004271227
West Midlands,Remain,56.055387729880984
West Midlands,Remain,46.59232392534374
Yorkshire,Leave,62.39524634936218
South East,Remain,66.22573893812103
Northern Ireland,Remain,69.87955078266585
Wales,Remain,46.90696219917466
Scotland,Leave,64.8895226271459
Scotland,Leave,42.538970655217256
Greater London,Remain,49.99530628286813
Wales,Remain,61.2364456870427
West Midlands,Remain,50.54785848676064
West Midlands,Remain,63.136961863778396
Greater London,Leave,44.230271554759966
Scotland,Remain,40.687712513282264
South East,Remain,57.81081734275388
West Midlands,Remain,56.733779049471686
South East,Leave,55.51374835142079
North East,Remain,51.756389540647014
South East,Leave,44.85879442623683
Wales,Remain,58.20755298787462
Yorkshire,Leave,43.70563187427315
Scotland,Remain,59.47917216876077
Yorkshire,Remain,40.522679010712345
West Midlands,Leave,40.80345144207892
West Midlands,Remain,47.716021031973355
Scotland,Leave,64.2357540684344
Yorkshire,Remain,51.358232964388016
Scotland,Remain,68.71537188036922
Scotland,Remain,50.64163533890546
South East,Remain,59.374074122535056
West Midlands,Remain,65.00469136544687
Greater London,Remain,44.34929340618424
Wales,Remain,52.62606529727925
East Midlands,Leave,60.13769992633034
Wales,Remain,66.70114065464561
Wales,Leave,49.75333744744377
Yorkshire,Remain,50.103142998398695
South East,Remain,65.35369797548793
Greater London,Leave,48.28647981619751
Wales,Leave,65.56538024639846
Wales,Remain,52.27301744216536
East Midlands,Remain,48.02164320093402
