Region,Voter_Turnout_Percentage,Support_Type
West Midlands,66.9080300884016,Leave
West Midlands,63.4222085660132,Remain
Wales,69.66633636195348,Leave
Northern Ireland,66.71693734812918,Leave
West Midlands,66.43867695343688,Remain
Scotland,65.18344130036108,Remain
South East,79.92260610026086,Leave
West Midlands,70.77696137459328,Leave
South East,74.59186623022784,Remain
North East,66.27603243123096,Leave
West Midlands,71.51832442006531,Leave
Northern Ireland,73.56808033285515,Leave
North East,73.8494115102468,Remain
Greater London,64.47429584123338,Remain
South East,78.94699308329976,Leave
Wales,66.57938357030436,Remain
North East,70.70304244004834,Remain
East Midlands,77.20679133219903,Remain
East Midlands,62.44848894127409,Remain
Greater London,75.13007044979973,Remain
Wales,69.5624622514689,Remain
North East,74.08365089623548,Leave
Scotland,76.81672851306689,Leave
East Midlands,68.21145894772188,Leave
West Midlands,73.16980988261221,Leave
West Midlands,79.34928468908532,Leave
Scotland,77.51674523633537,Remain
East Midlands,68.14368044805478,Leave
East Midlands,60.418374591977084,Leave
Scotland,69.13999420116265,Remain
Northern Ireland,72.23953908259506,Remain
Northern Ireland,65.23348958816767,Leave
Yorkshire,66.24654299156313,Leave
Northern Ireland,71.80772988549029,Remain
South East,62.4211669851902,Remain
West Midlands,68.58987482353899,Remain
Northern Ireland,75.63263164120102,Leave
Yorkshire,64.24178708348684,Remain
Wales,62.37873070130271,Remain
West Midlands,67.32884712360642,Leave
Wales,77.20292992993372,Remain
Yorkshire,71.82650904825242,Remain
South East,79.6301286131575,Remain
Yorkshire,79.88781625579631,Leave
East Midlands,73.05073730940205,Remain
Wales,72.961356312284,Remain
Northern Ireland,79.0713559965094,Remain
North East,70.52898981549204,Remain
Greater London,78.84749205861739,Remain
North East,66.10922952239846,Remain
North East,69.92154560399109,Remain
Northern Ireland,70.22361437287121,Remain
South East,68.04719730920081,Remain
East Midlands,63.856933827537226,Leave
Northern Ireland,64.04626970047732,Leave
North East,78.65285691699125,Leave
North East,66.6349832926065,Leave
Wales,63.45074727388374,Leave
North East,65.3128771381984,Remain
Yorkshire,76.18478437123011,Remain
Greater London,70.06704904614439,Remain
Scotland,78.95084899308924,Leave
Yorkshire,61.437495013135624,Leave
North East,69.89793042448426,Remain
Wales,68.24072707756807,Remain
East Midlands,72.36585642576817,Remain
South East,78.0661013464174,Leave
North East,76.84749305539299,Leave
Northern Ireland,71.39931493733238,Leave
East Midlands,69.87908000035426,Remain
Scotland,62.05374335826678,Remain
Scotland,69.89275442101705,Leave
Wales,75.09883748376991,Remain
Greater London,73.45557935652815,Leave
East Midlands,62.59464723498655,Remain
West Midlands,65.54709837911625,Remain
Northern Ireland,69.37920445164389,Leave
Northern Ireland,79.52798457947908,Remain
South East,77.59452666899091,Leave
Wales,60.409508654658254,Leave
North East,70.37113236161638,Remain
East Midlands,67.84180228817851,Remain
Scotland,62.578871452138955,Leave
Scotland,63.7332104658982,Remain
Wales,69.49624203583761,Leave
Wales,73.1049736351888,Remain
Greater London,75.82273172291272,Remain
South East,78.47905416546168,Remain
Greater London,79.38037824369073,Leave
South East,61.097988321114464,Leave
Wales,69.17617345693168,Remain
North East,75.0462666812418,Remain
East Midlands,64.040328988095,Leave
Wales,63.48170180414887,Leave
Northern Ireland,67.28269895985628,Leave
Scotland,76.35854219597176,Leave
West Midlands,66.37441519470255,Remain
West Midlands,75.54709291432457,Remain
East Midlands,79.18294486012562,Remain
Greater London,62.9247396754665,Remain
Wales,70.81066256641519,Remain
Scotland,79.94825747187807,Remain
West Midlands,62.827944658807496,Remain
Yorkshire,79.02572004607717,Remain
Greater London,60.85390227175008,Leave
East Midlands,79.25012706729736,Remain
West Midlands,69.22297472141432,Leave
Wales,64.1582333552921,Remain
Scotland,62.3050718454613,Leave
Wales,68.76509478872813,Leave
Wales,79.9223385625665,Leave
Northern Ireland,79.67130583934866,Remain
West Midlands,66.53612292719404,Remain
Greater London,60.154527004550054,Remain
Greater London,77.21119711231876,Leave
Scotland,75.07372817382752,Remain
East Midlands,63.31317053606582,Remain
South East,68.088005890915,Remain
Northern Ireland,72.26451132457811,Remain
Northern Ireland,74.68671377593515,Remain
Yorkshire,67.01735173829375,Leave
East Midlands,61.37307822231251,Leave
Northern Ireland,70.21601002344104,Leave
Greater London,70.13291038116421,Leave
Wales,72.26731501420133,Remain
Wales,61.71306809602896,Remain
Yorkshire,77.71909528381764,Remain
Northern Ireland,79.51760162630906,Leave
Wales,77.21417141018841,Remain
South East,73.97509630844944,Leave
North East,62.92508650685111,Leave
West Midlands,75.82523434213404,Remain
Greater London,73.70921214207567,Leave
South East,61.14163065220615,Leave
Scotland,70.90247819725138,Leave
Northern Ireland,62.50709935630395,Leave
Wales,75.6223905673535,Leave
West Midlands,66.37828021863692,Leave
South East,67.1262714547886,Leave
West Midlands,72.18363682714791,Remain
Northern Ireland,66.6303252398183,Remain
Northern Ireland,66.21251472985502,Remain
Yorkshire,72.68676082737231,Remain
Scotland,68.71396153555874,Leave
Greater London,69.59963352159959,Remain
West Midlands,75.32166130774463,Leave
Greater London,69.54095955709164,Remain
East Midlands,64.32453505929945,Remain
South East,64.02978499817782,Leave
Greater London,63.2216539956269,Leave
East Midlands,75.76821570699637,Remain
West Midlands,62.37768163311097,Leave
Scotland,71.47820949360175,Leave
Scotland,66.46401538371077,Remain
Northern Ireland,70.80407279592417,Remain
Scotland,64.82614410664871,Remain
Northern Ireland,73.82555757880553,Remain
Northern Ireland,68.25886837530248,Leave
East Midlands,71.5040552140923,Leave
East Midlands,66.16716952331186,Remain
West Midlands,71.63275709273849,Remain
West Midlands,75.74044700317526,Remain
East Midlands,79.07209136679947,Leave
West Midlands,67.01322327911791,Leave
Wales,61.57316410688117,Remain
Northern Ireland,74.57413406121195,Remain
Scotland,73.8310336979823,Remain
Wales,65.27072964686778,Remain
South East,74.1455604080632,Remain
West Midlands,72.18002653166693,Remain
Wales,68.20736556915789,Leave
Greater London,78.21307165857273,Remain
West Midlands,77.44394788532998,Leave
East Midlands,60.045853577562035,Remain
Northern Ireland,67.73858593313533,Remain
Yorkshire,73.345618381624,Leave
Northern Ireland,70.23181633475126,Remain
Greater London,62.57361889292874,Remain
Wales,66.6627264985445,Remain
Wales,70.90425067958549,Remain
East Midlands,71.05647698361926,Leave
East Midlands,72.354431378408,Remain
Wales,77.39955890215374,Remain
Wales,69.59435307191377,Remain
Northern Ireland,76.2298488629506,Leave
North East,67.19727288809581,Leave
Wales,65.31992239106431,Remain
East Midlands,66.51053387868866,Remain
West Midlands,78.73797760497034,Remain
Yorkshire,65.06206143744424,Remain
Wales,62.43375501971802,Leave
West Midlands,69.03083924124094,Leave
West Midlands,71.83135582184372,Remain
East Midlands,64.18641521274607,Leave
Northern Ireland,71.06577290625252,Leave
East Midlands,69.84149250917581,Leave
Greater London,62.62492684443492,Remain
West Midlands,62.72306329599083,Remain
